NAICS_Code,BEA_Sector_Code,BEA_Sector_Name,Spending_USD,Pct_of_Total,GHG_kg_CO2e,Energy_MJ,Water_gallons,Land_m2_year,GHG_Intensity_kg_per_1000USD,Energy_Intensity_MJ_per_1000USD
221112,221100,Electric Power Generation,169989589.52,0.038519467369405314,186988548.472,552466165.94,560965645.4160001,1869885.48472,1100.0,3250.0
541370,541300,Architectural Services,167731190.62,0.03800771648524063,15766731.918279998,271724528.80439997,31533463.836559996,78833.65959139999,94.0,1620.0
488390,488000,Support Activities for Transportation,145266644.92,0.032917273373382565,97372232.08987598,1035954551.5824878,437165441.22224796,1699619.7455639997,670.3,7131.4
221210,221200,Natural Gas Distribution,139828730.94,0.03168504761943074,74388884.86008,454443375.555,371944424.3004,1487777.6972016,532.0,3250.0
481112,481000,Scheduled Passenger Air Transportation,139427362.95,0.03159409804282676,95507743.62075,1784670245.76,477538718.10374993,1910154.8724149999,685.0,12800.0
339991,339900,Other Miscellaneous Manufacturing,137695498.18,0.031201659254753863,20131081.833915997,795191501.9895,45797522.694667995,128056.81330739999,146.2,5775.0
541713,541700,Research and Development in Nanotechnology,137370393.39,0.03112799084137982,19918707.041549996,222540037.29179996,39837414.08309999,98906.68324079999,145.0,1620.0
561320,561000,Administrative and Support Services,132124417.15,0.029939257983279826,14084462.86819,277461276.01500005,28168925.73638,70025.9410895,106.6,2100.0
336120,336120,Heavy Duty Truck Manufacturing,130133206.38,0.029488051656485326,32533301.595,1180958847.8985,97599904.785,325333.01595,250.0,9075.0
325412,325400,Pharmaceutical and Medicine Manufacturing,116419651.19,0.02638057405652563,69106704.946384,1536739395.708,304076486.943161,1174674.2805071,593.6,13200.0
315250,315000,Hosiery and Sock Mills,114415166.18,0.02592635980050454,11899177.28272,443358768.94749993,23798354.56544,59495.88641359999,104.0,3875.0
541618,541600,Management and Technical Consulting,108423894.84,0.02456874383393836,10387009.125672,175646709.6408,23072604.821952,62885.85900719999,95.8,1620.0
316210,316000,Leather and Hide Tanning and Finishing,105941378.1,0.024006208076128424,26591285.9031,410522840.1375,79773857.7093,265912.859031,251.0,3875.0
334310,334300,Audio and Video Equipment Manufacturing,104720088.63,0.023729465129568583,7749286.55862,691152584.958,15498573.11724,38746.4327931,74.0,6600.0
332996,332900,Other Fabricated Metal Product Manufacturing,96388950.97,0.021841637844671014,23663487.463135,877380426.204425,65361347.652757004,208200.13409520002,245.50000000000003,9102.5
541930,541900,Other Professional Services,93567110.84,0.02120221175324896,8963729.218472,151578719.5608,19911081.186752003,54268.924287199996,95.8,1620.0
485410,485000,Mixed Mode Transit Systems,82473563.3,0.018688425210881307,40659466.7069,659788506.4,121978400.12069999,406594.66706899996,493.0,8000.0
484230,484000,"General Freight Trucking, Local",79683104.97,0.01805611020328801,61037258.40701999,892450775.6639998,305186292.0350999,1220745.1681403997,766.0,11200.0
332216,332200,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",78290688.79,0.017740590119019375,15031812.24768,710488000.76925,30063624.49536,75159.0612384,192.0,9075.0
488330,488000,Support Activities for Transportation,74756648.98,0.01693978030750172,50109381.811294004,533119566.535972,224972659.440412,874652.793066,670.3,7131.4
325414,325400,Pharmaceutical and Medicine Manufacturing,71345491.86,0.01616681558803403,42350683.968095995,941760492.5519999,186347290.18913397,719876.0128673998,593.6,13200.0
332618,332600,Spring Manufacturing,70094601.62,0.015883365137224402,14789960.941820001,636108509.7015,44369882.82546,147899.60941819998,211.0,9075.0
483113,483000,Deep Sea Freight Transportation,69815260.29,0.015820066677146673,40702296.74907,502669874.088,203511483.74535,814045.9349814,583.0,7200.0
561499,561000,Administrative and Support Services,67003185.65,0.015182853435784807,7142539.590289999,140706689.865,14285079.180579998,35511.6883945,106.6,2100.0
332912,332900,Other Fabricated Metal Product Manufacturing,62772460.04,0.014224175333534735,15410638.93982,571386317.5141,42566005.153124,135588.5136864,245.50000000000003,9102.5
488119,488000,Support Activities for Transportation,59699556.89,0.013527858618199402,40016612.983366996,425741420.00534594,179659846.504766,698484.8156129998,670.3,7131.4
524292,524200,Insurance Agencies and Brokerages,58090511.59,0.01316325059658904,1510353.30134,74355854.8352,3020706.60268,7551.7665067,26.0,1280.0
481219,481000,Scheduled Passenger Air Transportation,53428934.89,0.012106942077387021,36598820.39965,683890366.592,182994101.99825,731976.407993,685.0,12800.0
561920,561000,Administrative and Support Services,53335722.91,0.012085820337919408,5685588.062205999,112005018.11099999,11371176.124411998,28267.933142299997,106.6,2100.0
325413,325400,Pharmaceutical and Medicine Manufacturing,50083543.31,0.011348879762114874,29729591.308815997,661102771.692,130813206.771389,505342.9519979,593.6,13200.0
221118,221100,Electric Power Generation,48083609.14,0.010895696721789866,52891970.054,156271729.705,158675910.162,528919.70054,1100.0,3250.0
541320,541300,Architectural Services,46543049.09,0.010546607387883319,4375046.61446,75399739.52579999,8750093.22892,21875.233072299998,94.0,1620.0
483211,483000,Deep Sea Freight Transportation,41318310.92,0.009362687054754194,24088575.26636,297491838.624,120442876.3318,481771.5053272,583.0,7200.0
423120,423000,"Merchant Wholesalers, Durable Goods",40880335.99,0.009263442382934054,3720110.57509,91980755.9775,7440221.15018,18804.9545554,91.0,2250.0
